Sample ID,Family ID,Sex,Population,Superpopulation,Repository,Description,Affected,References,Link
HG02072,VN65,F,KHV,EAS,NHGRI,1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY- VIETNAM;1000 GENOMES PROJECT - PANEL OF 100 KINH IN HO CHI MINH CITY- VIETNAM,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02072"",""HG02072"")"
HG02073,VN65,M,KHV,EAS,NHGRI,1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY- VIETNAM;1000 GENOMES PROJECT - PANEL OF 100 KINH IN HO CHI MINH CITY- VIETNAM,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02073"",""HG02073"")"
HG02075,VN66,F,KHV,EAS,NHGRI,1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY- VIETNAM;1000 GENOMES PROJECT - PANEL OF 100 KINH IN HO CHI MINH CITY- VIETNAM,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02075"",""HG02075"")"
HG02076,VN66,M,KHV,EAS,NHGRI,1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY- VIETNAM;1000 GENOMES PROJECT - PANEL OF 100 KINH IN HO CHI MINH CITY- VIETNAM,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02076"",""HG02076"")"
HG02130,VN79,F,KHV,EAS,NHGRI,1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY- VIETNAM;1000 GENOMES PROJECT - PANEL OF 100 KINH IN HO CHI MINH CITY- VIETNAM,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02130"",""HG02130"")"
HG02131,VN79,M,KHV,EAS,NHGRI,1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY- VIETNAM;1000 GENOMES PROJECT - PANEL OF 100 KINH IN HO CHI MINH CITY- VIETNAM,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02131"",""HG02131"")"
HG02512,VN87,M,KHV,EAS,NHGRI,1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY- VIETNAM;1000 GENOMES PROJECT - PANEL OF 100 KINH IN HO CHI MINH CITY- VIETNAM,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02512"",""HG02512"")"
HG02513,VN87,F,KHV,EAS,NHGRI,1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY- VIETNAM;1000 GENOMES PROJECT - PANEL OF 100 KINH IN HO CHI MINH CITY- VIETNAM,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02513"",""HG02513"")"
HG02521,VN90,M,KHV,EAS,NHGRI,1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY- VIETNAM;1000 GENOMES PROJECT - PANEL OF 100 KINH IN HO CHI MINH CITY- VIETNAM,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02521"",""HG02521"")"
HG02522,VN90,F,KHV,EAS,NHGRI,1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY- VIETNAM;1000 GENOMES PROJECT - PANEL OF 100 KINH IN HO CHI MINH CITY- VIETNAM,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02522"",""HG02522"")"
HG02524,VN91,M,KHV,EAS,NHGRI,1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY- VIETNAM,NA,1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02524"",""HG02524"")"
HG02525,VN91,F,KHV,EAS,NHGRI,1000 GENOMES PROJECT - KINH IN HO CHI MINH CITY- VIETNAM,NA,1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02525"",""HG02525"")"
HG00181,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00181"",""HG00181"")"
HG00185,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00185"",""HG00185"")"
HG00190,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00190"",""HG00190"")"
HG00267,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00267"",""HG00267"")"
HG00273,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00273"",""HG00273"")"
HG00277,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00277"",""HG00277"")"
HG00280,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00280"",""HG00280"")"
HG00284,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00284"",""HG00284"")"
HG00351,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00351"",""HG00351"")"
HG00358,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00358"",""HG00358"")"
HG00366,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00366"",""HG00366"")"
HG00369,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00369"",""HG00369"")"
HG00371,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00371"",""HG00371"")"
HG00372,NA,M,FIN,EUR,NHGRI,1000 GENOMES PROJECT - FINNISH IN FINLAND;1000 GENOMES PROJECT - PANEL OF 100 FINNISH IN FINLAND,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00372"",""HG00372"")"
HG00096,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00096"",""HG00096"")"
HG00098,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00098"",""HG00098"")"
HG00101,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00101"",""HG00101"")"
HG00103,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00103"",""HG00103"")"
HG00107,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00107"",""HG00107"")"
HG00108,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00108"",""HG00108"")"
HG00109,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00109"",""HG00109"")"
HG00115,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00115"",""HG00115"")"
HG00116,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00116"",""HG00116"")"
HG00117,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00117"",""HG00117"")"
HG00119,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00119"",""HG00119"")"
HG00131,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00131"",""HG00131"")"
HG00136,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00136"",""HG00136"")"
HG00139,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00139"",""HG00139"")"
HG00256,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00256"",""HG00256"")"
HG00264,NA,M,GBR,EUR,NHGRI,1000 GENOMES PROJECT - BRITISH FROM ENGLAND AND SCOTLAND- UK;1000 GENOMES PROJECT - PANEL OF 100 BRITISH FROM ENGLAND AND SCOTLAND- UK,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00264"",""HG00264"")"
HG01619,IBS018,M,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01619"",""HG01619"")"
HG01620,IBS018,F,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01620"",""HG01620"")"
HG01623,IBS017,F,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01623"",""HG01623"")"
HG01624,IBS017,M,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01624"",""HG01624"")"
HG01625,IBS016,M,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01625"",""HG01625"")"
HG01626,IBS016,F,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01626"",""HG01626"")"
HG01628,IBS015,F,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01628"",""HG01628"")"
HG01630,IBS015,M,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01630"",""HG01630"")"
HG01682,IBS030,M,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01682"",""HG01682"")"
HG01684,IBS030,F,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01684"",""HG01684"")"
HG01685,IBS031,F,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01685"",""HG01685"")"
HG01686,IBS031,M,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01686"",""HG01686"")"
HG01707,IBS038,F,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01707"",""HG01707"")"
HG01708,IBS038,M,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01708"",""HG01708"")"
HG01756,IBS044,M,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01756"",""HG01756"")"
HG01757,IBS044,F,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01757"",""HG01757"")"
HG01761,IBS046,M,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01761"",""HG01761"")"
HG01762,IBS046,F,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01762"",""HG01762"")"
HG01770,IBS049,F,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01770"",""HG01770"")"
HG01771,IBS049,M,IBS,EUR,NHGRI,1000 GENOMES PROJECT - IBERIAN POPULATIONS IN SPAIN;1000 GENOMES PROJECT - PANEL OF 100 IBERIAN POPULATIONS IN SPAIN,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01771"",""HG01771"")"
