HG00096,114
HG00097,109
HG00099,127
HG00100,106
HG00101,114
HG00102,108
HG00103,109
HG00105,100
HG00106,122
HG00107,111
HG00108,110
HG00109,122
HG00110,106
HG00111,111
HG00112,111
HG00113,101
HG00114,113
HG00115,99
HG00116,150
HG00117,130
HG00118,117
HG00119,118
HG00120,129
HG00121,109
HG00122,117
HG00123,106
HG00125,100
HG00126,142
HG00127,117
HG00128,143
HG00129,102
HG00130,104
HG00131,112
HG00132,107
HG00133,169
HG00136,107
HG00137,111
HG00138,117
HG00139,115
HG00140,110
HG00141,114
HG00142,109
HG00143,111
HG00145,102
HG00146,144
HG00148,101
HG00149,110
HG00150,132
HG00151,118
HG00154,113
HG00155,104
HG00157,103
HG00158,121
HG00159,115
HG00160,110
HG00171,118
HG00173,102
HG00174,114
HG00176,115
HG00177,105
HG00178,107
HG00179,106
HG00180,117
HG00181,111
HG00182,113
HG00183,107
HG00185,113
HG00186,112
HG00187,116
HG00188,104
HG00189,100
HG00190,110
HG00231,107
HG00232,180
HG00233,140
HG00234,128
HG00235,125
HG00236,131
HG00237,107
HG00238,99
HG00239,118
HG00240,99
HG00242,139
HG00243,134
HG00244,121
HG00245,144
HG00246,112
HG00250,103
HG00251,135
HG00252,113
HG00253,120
HG00254,116
HG00255,115
HG00256,109
HG00257,116
HG00258,126
HG00259,105
HG00260,104
HG00261,106
HG00262,101
HG00263,103
HG00264,114
HG00265,118
HG00266,104
HG00267,113
HG00268,107
HG00269,104
HG00271,115
HG00272,150
HG00273,119
HG00274,110
HG00275,107
HG00276,99
HG00277,113
HG00278,121
HG00280,121
HG00281,109
HG00282,107
HG00284,110
HG00285,116
HG00288,108
HG00290,150
HG00304,111
HG00306,111
HG00308,107
HG00309,113
HG00310,111
HG00311,107
HG00313,123
HG00315,109
HG00318,103
HG00319,114
HG00320,133
HG00321,182
HG00323,103
HG00324,109
HG00325,102
HG00326,138
HG00327,113
HG00328,108
HG00329,118
HG00330,109
HG00331,113
HG00332,118
HG00334,107
HG00335,110
HG00336,111
HG00337,104
HG00338,121
HG00339,138
HG00341,108
HG00342,110
HG00343,108
HG00344,116
HG00345,112
HG00346,106
HG00349,119
HG00350,156
HG00351,101
HG00353,107
HG00355,157
HG00356,111
HG00357,110
HG00358,120
HG00360,110
HG00361,108
HG00362,113
HG00364,110
HG00365,111
HG00366,99
HG00367,109
HG00368,111
HG00369,155
HG00371,120
HG00372,107
HG00373,106
HG00375,120
HG00376,114
HG00378,116
HG00379,115
HG00380,114
HG00381,114
HG00382,108
HG00383,112
HG00384,111
HG00403,105
HG00404,101
HG00406,111
HG00407,116
HG00409,100
HG00410,113
HG00419,110
HG00421,116
HG00422,118
HG00428,108
HG00436,103
HG00437,107
HG00442,116
HG00443,118
HG00445,125
HG00446,112
HG00448,122
HG00449,107
HG00451,115
HG00452,106
HG00457,113
HG00458,115
HG00463,112
HG00464,113
HG00472,101
HG00473,123
HG00475,111
HG00476,102
HG00478,111
HG00479,103
HG00500,122
HG00513,209
HG00524,108
HG00525,107
HG00530,113
HG00531,114
HG00533,112
HG00534,113
HG00536,103
HG00537,105
HG00542,110
HG00543,126
HG00551,152
HG00553,118
HG00554,112
HG00556,100
HG00557,112
HG00559,109
HG00560,104
HG00565,104
HG00566,147
HG00580,112
HG00581,105
HG00583,114
HG00584,135
HG00589,116
HG00590,109
HG00592,118
HG00593,113
HG00595,103
HG00596,144
HG00598,115
HG00599,111
HG00607,124
HG00608,148
HG00610,117
HG00611,117
HG00613,108
HG00614,106
HG00619,115
HG00620,114
HG00622,105
HG00623,119
HG00625,116
HG00626,111
HG00628,116
HG00629,149
HG00631,104
HG00632,102
HG00634,112
HG00637,111
HG00638,120
HG00640,105
