Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
HG02072,VN65,F,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281780/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955434,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02072,NA,1kg_phase3;1kg_GRCh38
HG02073,VN65,M,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281781/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955525,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02073,NA,1kg_phase3;1kg_GRCh38
HG02075,VN66,F,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283458/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955505,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02075,NA,1kg_phase3;1kg_GRCh38
HG02076,VN66,M,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281782/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955448,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02076,NA,1kg_phase3;1kg_GRCh38
HG02130,VN79,F,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281783/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955414,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02130,NA,1kg_phase3;1kg_GRCh38
HG02131,VN79,M,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283459/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955436,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02131,NA,1kg_phase3;1kg_GRCh38
HG02512,VN87,M,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282572/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955533,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02512,NA,1kg_phase3;1kg_GRCh38
HG02513,VN87,F,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282573/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955466,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02513,NA,1kg_phase3;1kg_GRCh38
HG02521,VN90,M,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283464/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955510,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02521,NA,1kg_phase3;1kg_GRCh38
HG02522,VN90,F,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281787/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955518,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02522,NA,1kg_phase3;1kg_GRCh38
HG02524,VN91,M,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284627/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955472,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02524,NA,1kg_GRCh38
HG02525,VN91,F,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283465/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955400,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02525,NA,1kg_GRCh38
HG00181,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281762/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955428,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00181,NA,1kg_phase3;1kg_GRCh38
HG00185,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281763/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955475,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00185,NA,1kg_phase3;1kg_GRCh38
HG00190,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281764/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955496,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00190,NA,1kg_phase3;1kg_GRCh38
HG00267,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281766/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955520,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00267,NA,1kg_phase3;1kg_GRCh38
HG00273,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284611/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955486,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00273,NA,1kg_phase3;1kg_GRCh38
HG00277,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284612/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955489,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00277,NA,1kg_phase3;1kg_GRCh38
HG00280,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284613/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955396,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00280,NA,1kg_phase3;1kg_GRCh38
HG00284,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282554/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955514,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00284,NA,1kg_phase3;1kg_GRCh38
HG00351,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283445/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955490,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00351,NA,1kg_phase3;1kg_GRCh38
HG00358,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283446/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955473,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00358,NA,1kg_phase3;1kg_GRCh38
HG00366,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282555/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955442,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00366,NA,1kg_phase3;1kg_GRCh38
HG00369,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281767/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955458,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00369,NA,1kg_phase3;1kg_GRCh38
HG00371,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282556/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955408,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00371,NA,1kg_phase3;1kg_GRCh38
HG00372,NA,M,FIN,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283343/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955395,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00372,NA,1kg_phase3;1kg_GRCh38
HG00096,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/271391/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955393,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00096,NA,1kg_phase3;1kg_GRCh38
HG00098,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284385/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955394,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00098,NA,1kg_phase3;1kg_GRCh38
HG00101,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283350/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955403,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00101,NA,1kg_phase3;1kg_GRCh38
HG00103,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283351/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955439,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00103,NA,1kg_phase3;1kg_GRCh38
HG00107,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284386/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955492,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00107,NA,1kg_phase3;1kg_GRCh38
HG00108,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283353/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955418,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00108,NA,1kg_phase3;1kg_GRCh38
HG00109,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283354/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955541,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00109,NA,1kg_phase3;1kg_GRCh38
HG00115,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282428/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955445,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00115,NA,1kg_phase3;1kg_GRCh38
HG00116,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284610/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955508,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00116,NA,1kg_phase3;1kg_GRCh38
HG00117,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281760/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955517,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00117,NA,1kg_phase3;1kg_GRCh38
HG00119,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281761/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955447,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00119,NA,1kg_phase3;1kg_GRCh38
HG00131,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283442/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955399,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00131,NA,1kg_phase3;1kg_GRCh38
HG00136,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283443/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955474,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00136,NA,1kg_phase3;1kg_GRCh38
HG00139,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283444/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955521,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00139,NA,1kg_phase3;1kg_GRCh38
HG00256,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282553/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955502,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00256,NA,1kg_phase3;1kg_GRCh38
HG00264,NA,M,GBR,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281765/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955426,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00264,NA,1kg_phase3;1kg_GRCh38
HG01628,IBS015,F,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281778/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955483,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01628,NA,1kg_phase3;1kg_GRCh38
HG01630,IBS015,M,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282564/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955494,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01630,NA,1kg_phase3;1kg_GRCh38
HG01625,IBS016,M,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284619/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955537,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01625,NA,1kg_phase3;1kg_GRCh38
HG01626,IBS016,F,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284620/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955536,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01626,NA,1kg_phase3;1kg_GRCh38
HG01623,IBS017,F,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282562/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955531,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01623,NA,1kg_phase3;1kg_GRCh38
HG01624,IBS017,M,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282563/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955454,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01624,NA,1kg_phase3;1kg_GRCh38
HG01619,IBS018,M,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284618/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955411,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01619,NA,1kg_phase3;1kg_GRCh38
HG01620,IBS018,F,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281777/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955480,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01620,NA,1kg_phase3;1kg_GRCh38
HG01682,IBS030,M,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283450/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955404,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01682,NA,1kg_phase3;1kg_GRCh38
HG01684,IBS030,F,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284621/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955491,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01684,NA,1kg_phase3;1kg_GRCh38
HG01685,IBS031,F,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283451/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955444,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01685,NA,1kg_phase3;1kg_GRCh38
HG01686,IBS031,M,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283452/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955539,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01686,NA,1kg_phase3;1kg_GRCh38
HG01707,IBS038,F,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284622/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955410,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01707,NA,1kg_phase3;1kg_GRCh38
HG01708,IBS038,M,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282565/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955504,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01708,NA,1kg_phase3;1kg_GRCh38
HG01756,IBS044,M,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283453/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955433,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01756,NA,1kg_phase3;1kg_GRCh38
HG01757,IBS044,F,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283454/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955532,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01757,NA,1kg_phase3;1kg_GRCh38
HG01761,IBS046,M,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283455/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955471,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01761,NA,1kg_phase3;1kg_GRCh38
HG01762,IBS046,F,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281779/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955509,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01762,NA,1kg_phase3;1kg_GRCh38
HG01770,IBS049,F,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284623/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955435,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01770,NA,1kg_phase3;1kg_GRCh38
HG01771,IBS049,M,IBS,EUR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284624/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955499,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01771,NA,1kg_phase3;1kg_GRCh38
