Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
HG03246,GB116,M,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283475/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955464,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03246,NA,1kg_phase3;1kg_GRCh38
HG03247,GB116,F,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282581/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955457,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03247,NA,1kg_phase3;1kg_GRCh38
HG02561,GB18,M,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283466/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955477,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02561,NA,1kg_phase3;1kg_GRCh38
HG02562,GB18,F,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282574/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955470,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02562,NA,1kg_phase3;1kg_GRCh38
HG02620,GB31,M,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284628/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955538,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02620,NA,1kg_phase3;1kg_GRCh38
HG02621,GB31,F,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283467/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955469,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02621,NA,1kg_phase3;1kg_GRCh38
HG02721,GB52,M,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283468/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955430,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02721,NA,1kg_phase3;1kg_GRCh38
HG02722,GB52,F,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281788/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955493,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02722,NA,1kg_phase3;1kg_GRCh38
HG02768,GB57,M,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282575/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955460,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02768,NA,1kg_phase3;1kg_GRCh38
HG02769,GB57,F,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282576/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955534,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02769,NA,1kg_phase3;1kg_GRCh38
HG02771,GB58,M,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281789/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955420,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02771,NA,1kg_phase3;1kg_GRCh38
HG02772,GB58,F,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283469/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955443,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02772,NA,1kg_phase3;1kg_GRCh38
HG02851,GB78,M,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282577/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955406,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02851,NA,1kg_phase3;1kg_GRCh38
HG02852,GB78,F,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281790/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955527,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02852,NA,1kg_phase3;1kg_GRCh38
HG02982,GB97,M,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281791/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955429,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02982,NA,1kg_phase3;1kg_GRCh38
HG02983,GB97,F,GWD,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283470/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955425,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02983,NA,1kg_phase3;1kg_GRCh38
HG03069,NA,M,MSL,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282579/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955463,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03069,NA,1kg_phase3;1kg_GRCh38
