Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
NA19819,2418,F,ASW,AMR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955386,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595678",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19819,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA19908,2427,M,ASW,AMR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955387,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595679",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19908,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA19917,2431,F,ASW,AMR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955388,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595680",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19917,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA19920,2433,M,ASW,AMR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955389,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595681",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19920,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA20296,2475,F,ASW,AMR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955390,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595682",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA20296,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA19789,M037,M,MXL,AMR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955385,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595677",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19789,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
HG01190,PR40,M,PUR,AMR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955326,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595618",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01190,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18524,NA,M,CHS,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955353,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595645",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18524,NA,GeT-RM PGx 28
NA18526,NA,F,CHS,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955354,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595646",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18526,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18540,NA,F,CHS,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955355,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595647",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18540,NA,GeT-RM PGx 28
NA18544,NA,M,CHS,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955356,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595648",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18544,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18552,NA,F,CHS,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955357,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595649",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18552,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18564,NA,F,CHS,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955358,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595650",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18564,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18565,NA,F,CHS,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955359,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595651",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18565,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18617,NA,F,CHS,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955360,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595652",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18617,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
